Name	CAS nr	εr	nD	Kirkwood	f(nD)	g(εr)
methyl decanoate	110-42-9	3.9	1.426	0.328	0.341	0.588
methyl dodecanoate	111-82-0	3.6	1.432	0.317	0.344	0.565
methyl formate	107-31-3	8.5	1.343	0.417	0.287	0.789
methyl hexanoate	106-70-7	4.7	1.405	0.356	0.328	0.649
methyl linoleate	112-63-0	3.2	1.461	0.297	0.362	0.524
methyl octanoate	111-11-5	4.1	1.417	0.338	0.335	0.610
methyl pentanoate	624-24-8	5.0	1.397	0.364	0.322	0.668
methyl propanoate	554-12-1	6.2	1.377	0.389	0.309	0.723
methyl thiocyanate	556-64-9	35.0	1.469	0.479	0.366	0.944
methyl trichloroacetate	598-99-2	8.8	1.457	0.419	0.360	0.796
methyl trifluoroethanoate	431-47-0	11.5	1.291	0.437	0.250	0.839
methylbutane	78-78-4	1.8	1.354	0.178	0.294	0.293
methylcyclohexane	108-87-2	2.0	1.423	0.202	0.339	0.338
methylcyclopentane	96-37-7	2.0	1.410	0.198	0.331	0.330
morpholine	110-91-8	7.4	1.455	0.405	0.358	0.762
N,N,N',N'-tetramethylguanidine	80-70-6	23.1	1.468	0.468	0.366	0.917
N,N,N',N'-tetramethylurea	632-22-4	24.5	1.451	0.470	0.356	0.921
N,N-diethylacetamide	685-91-6	31.3	1.439	0.476	0.349	0.938
N,N-diethylaniline	91-66-7	5.5	1.542	0.375	0.408	0.692
N,N-diethylformamide	617-84-5	29.0	1.434	0.475	0.346	0.933
N,N-dimethylacetamide	127-19-5	37.8	1.438	0.480	0.348	0.948
N,N-dimethylaniline	121-69-7	4.4	1.558	0.347	0.416	0.630
N,N-dimethylcyanamide	1467-79-4	37.2	1.409	0.480	0.330	0.948
N,N-dimethylcyclohexylamine	98-94-2	2.9	1.454	0.277	0.358	0.482
N,N-dimethylformamide	68-12-2	36.7	1.431	0.480	0.343	0.947
N,N-dimethylpropionamide	758-96-3	33.1	1.439	0.478	0.349	0.941
N,N-dimethylthioformamide	758-16-7	47.5	1.574	0.484	0.425	0.959
N-(tert-butyl)benzylamine	3378-72-1	3.2	1.497	0.299	0.383	0.528
N-benzylmethylamine	103-67-3	4.1	1.522	0.336	0.397	0.606
N-ethylaniline	103-69-5	5.8	1.554	0.380	0.414	0.704
N-methylaniline	100-61-8	6.0	1.571	0.385	0.423	0.714
N-methylcyclohexylamine	100-60-7	3.6	1.455	0.319	0.358	0.569
N-methylformanilide	93-61-8	17.2	1.561	0.458	0.418	0.890
N-methylpiperidine	626-67-5	2.6	1.437	0.257	0.347	0.443
N-methylpyrrolidon	872-50-4	32.2	1.470	0.477	0.367	0.940
N-nitrosodimethylamine	62-75-9	53.0	1.436	0.486	0.347	0.963
n-propyl nitrate	627-13-4	13.9	1.397	0.448	0.323	0.866
n-tetradecyl bromide		3.8	1.460	0.327	0.361	0.587
nitrobenzene	98-95-3	34.8	1.552	0.479	0.413	0.944
nitroethane	79-24-3	19.7	1.391	0.463	0.319	0.903
nitromethane	75-52-5	39.4	1.382	0.481	0.313	0.950
nonane	111-84-2	2.0	1.403	0.195	0.326	0.324
octadecafluoronaphthalene	306-94-5	1.9	1.315	0.182	0.267	0.301
octadecanoic acid	57-11-4	2.3	1.430	0.231	0.343	0.392
octane	111-65-9	2.0	1.395	0.195	0.321	0.324
octanoic acid	124-07-2	3.2	1.428	0.297	0.342	0.524
octanol	111-87-5	10.3	1.427	0.431	0.341	0.823
oxane	142-68-7	5.7	1.420	0.379	0.337	0.701
oxolan-2-one	96-48-0	41.0	1.437	0.482	0.347	0.952
p-xylene	106-42-3	2.3	1.495	0.232	0.382	0.394
pentachloroethane	76-01-7	3.9	1.503	0.330	0.386	0.592
pentadecane	629-62-9	2.1	1.432	0.206	0.344	0.344
pentafluorobenzene	363-72-4	4.4	1.391	0.346	0.319	0.627
pentanal	110-62-3	10.1	1.405	0.429	0.327	0.820
pentane	109-66-0	1.8	1.358	0.180	0.296	0.297
pentanenitrile	110-59-8	17.7	1.397	0.459	0.322	0.893
pentanoic acid	109-52-4	2.6	1.408	0.258	0.329	0.444
pentanol	71-41-0	13.9	1.408	0.448	0.329	0.866
pentyl acetate	628-63-7	4.8	1.402	0.357	0.326	0.652
pentyl formate	638-49-3	6.5	1.400	0.393	0.324	0.733
pentylamine	110-58-7	4.5	1.411	0.350	0.332	0.636
